Left	Top	Right	Bottom	Rotation	CenterOfMassX	CenterOfMassY	FirstPixelY	Area	Mean Intensity	Standard  Deviation	Minimum Intensity	Maximum Intensity
1223.000000	88.000000	1243.000000	107.000000	0.000000	1232.741007	96.589928	88.000000	278.000000	0.191054	0.019096	0.138449	0.246782
1943.000000	90.000000	1965.000000	109.000000	0.000000	1953.925466	99.108696	90.000000	322.000000	0.210578	0.019375	0.156016	0.266268
893.000000	91.000000	909.000000	106.000000	0.000000	900.579268	98.829268	91.000000	164.000000	0.187942	0.014071	0.156144	0.236963
1484.000000	91.000000	1506.000000	111.000000	0.000000	1494.509494	100.917722	91.000000	316.000000	0.193067	0.016794	0.153037	0.242459
1697.000000	94.000000	1716.000000	111.000000	0.000000	1705.879032	102.229839	94.000000	248.000000	0.197237	0.016768	0.154789	0.242092
1662.000000	96.000000	1679.000000	111.000000	0.000000	1670.440000	102.948571	96.000000	175.000000	0.197390	0.015275	0.150814	0.235331
1388.000000	106.000000	1413.000000	125.000000	0.000000	1400.314869	115.688047	106.000000	343.000000	0.232394	0.019941	0.176304	0.290296
1791.000000	109.000000	1810.000000	125.000000	0.000000	1800.142857	116.247619	109.000000	210.000000	0.242086	0.018168	0.194818	0.295232
1264.000000	111.000000	1288.000000	129.000000	0.000000	1275.550489	119.534202	111.000000	307.000000	0.251851	0.021404	0.194981	0.308796
1496.000000	113.000000	1522.000000	132.000000	0.000000	1508.446281	121.862259	113.000000	363.000000	0.250773	0.021931	0.193165	0.312049
1966.000000	114.000000	1988.000000	133.000000	0.000000	1976.661238	122.758958	114.000000	307.000000	0.294737	0.025625	0.227182	0.357167
1720.000000	115.000000	1742.000000	133.000000	0.000000	1730.428571	123.250000	115.000000	308.000000	0.257627	0.022403	0.195320	0.327149
1229.000000	123.000000	1255.000000	142.000000	0.000000	1241.919060	131.979112	123.000000	383.000000	0.295757	0.025480	0.233522	0.362599
99.000000	125.000000	120.000000	142.000000	0.000000	109.291188	133.268199	125.000000	261.000000	0.298176	0.025513	0.233848	0.365305
17.000000	131.000000	42.000000	150.000000	0.000000	28.737609	139.909621	131.000000	343.000000	0.328423	0.029581	0.260454	0.412088
363.000000	141.000000	387.000000	159.000000	0.000000	374.836795	149.685460	141.000000	337.000000	0.344474	0.025089	0.271186	0.404576
290.000000	511.000000	315.000000	529.000000	0.000000	301.935583	519.641104	511.000000	326.000000	0.276880	0.022834	0.224529	0.345315
447.000000	513.000000	475.000000	537.000000	0.000000	461.810304	524.327869	513.000000	427.000000	0.260864	0.029896	0.187324	0.339461
812.000000	514.000000	838.000000	535.000000	0.000000	824.658477	524.415233	514.000000	407.000000	0.246718	0.026047	0.174986	0.329374
1593.000000	527.000000	1615.000000	544.000000	0.000000	1603.168539	534.550562	527.000000	267.000000	0.218636	0.021059	0.167252	0.274883
86.000000	528.000000	108.000000	546.000000	0.000000	95.990196	536.366013	528.000000	306.000000	0.200823	0.020880	0.142995	0.266710
186.000000	528.000000	207.000000	545.000000	0.000000	195.915058	535.308880	528.000000	259.000000	0.208918	0.020838	0.156535	0.267689
132.000000	536.000000	149.000000	551.000000	0.000000	139.883598	543.428571	536.000000	189.000000	0.183371	0.017018	0.139923	0.223574
248.000000	550.000000	266.000000	568.000000	0.000000	256.125000	558.038793	550.000000	232.000000	0.148369	0.016113	0.098462	0.197951
1223.000000	551.000000	1247.000000	572.000000	0.000000	1234.430508	560.674576	551.000000	295.000000	0.136707	0.015105	0.102967	0.181818
1622.000000	552.000000	1637.000000	567.000000	0.000000	1629.060811	559.405405	552.000000	148.000000	0.147950	0.015154	0.110490	0.180360
633.000000	556.000000	654.000000	575.000000	0.000000	643.320819	565.081911	556.000000	293.000000	0.137045	0.014186	0.105194	0.179803
1606.000000	84.000000	1620.000000	97.000000	0.000000	1612.863636	89.690909	84.000000	110.000000	0.170749	0.013322	0.141698	0.206217
1485.000000	94.000000	1504.000000	110.000000	0.000000	1494.331754	101.369668	94.000000	211.000000	0.193702	0.014965	0.152302	0.239626
1267.000000	102.000000	1285.000000	117.000000	0.000000	1275.167513	108.649746	102.000000	197.000000	0.221099	0.017330	0.172366	0.266907
447.000000	105.000000	475.000000	125.000000	0.000000	460.024691	115.041975	105.000000	405.000000	0.228007	0.019893	0.169377	0.284390
1110.000000	105.000000	1131.000000	121.000000	0.000000	1120.410788	111.738589	105.000000	241.000000	0.228883	0.019433	0.185471	0.275222
1508.000000	105.000000	1531.000000	122.000000	0.000000	1519.180272	113.316327	105.000000	294.000000	0.223663	0.018524	0.166125	0.267691
1918.000000	107.000000	1936.000000	120.000000	0.000000	1926.798701	113.428571	107.000000	154.000000	0.244199	0.017418	0.200338	0.286521
218.000000	115.000000	257.000000	138.000000	0.000000	236.164794	125.940075	115.000000	534.000000	0.275061	0.027624	0.210857	0.358336
888.000000	115.000000	911.000000	131.000000	0.000000	898.608541	122.270463	115.000000	281.000000	0.259217	0.020652	0.208693	0.309697
1841.000000	115.000000	1864.000000	130.000000	0.000000	1851.864198	122.049383	115.000000	243.000000	0.261464	0.020032	0.218235	0.309923
1945.000000	115.000000	1982.000000	142.000000	0.000000	1963.297945	127.672945	115.000000	584.000000	0.309837	0.034816	0.233986	0.408319
1207.000000	116.000000	1229.000000	132.000000	0.000000	1217.257812	123.417969	116.000000	256.000000	0.268827	0.020373	0.213312	0.335521
511.000000	117.000000	530.000000	132.000000	0.000000	520.628141	123.954774	117.000000	199.000000	0.253655	0.018335	0.202433	0.303526
1609.000000	117.000000	1628.000000	133.000000	0.000000	1617.615385	124.091346	117.000000	208.000000	0.258321	0.020676	0.208942	0.312668
1650.000000	122.000000	1671.000000	137.000000	0.000000	1659.500000	128.707547	122.000000	212.000000	0.279378	0.017064	0.222256	0.322242
1871.000000	145.000000	1898.000000	167.000000	0.000000	1884.545455	154.840909	145.000000	440.000000	0.408238	0.035238	0.322017	0.505651
131.000000	508.000000	157.000000	526.000000	0.000000	143.820189	515.927445	508.000000	317.000000	0.285614	0.025374	0.229379	0.355882
1074.000000	529.000000	1096.000000	546.000000	0.000000	1084.274368	536.873646	529.000000	277.000000	0.197043	0.019404	0.151566	0.255943
701.000000	531.000000	720.000000	551.000000	0.000000	709.426829	540.951220	531.000000	246.000000	0.200723	0.021584	0.152900	0.253436
1977.000000	533.000000	1998.000000	552.000000	0.000000	1987.432990	541.762887	533.000000	291.000000	0.231323	0.020107	0.179548	0.292355
194.000000	538.000000	209.000000	551.000000	0.000000	200.666667	543.886667	538.000000	150.000000	0.188310	0.015625	0.154423	0.230357
883.000000	539.000000	903.000000	558.000000	0.000000	892.057971	547.858696	539.000000	276.000000	0.171040	0.022129	0.126062	0.222744
38.000000	540.000000	55.000000	557.000000	0.000000	45.994975	548.306533	540.000000	199.000000	0.174978	0.019415	0.123444	0.235235
1901.000000	540.000000	1919.000000	557.000000	0.000000	1909.911628	547.386047	540.000000	215.000000	0.185106	0.018934	0.136929	0.234837
757.000000	541.000000	776.000000	559.000000	0.000000	766.220264	548.995595	541.000000	227.000000	0.170589	0.017033	0.133819	0.216269
674.000000	565.000000	690.000000	582.000000	0.000000	681.074286	573.994286	565.000000	175.000000	0.121876	0.011767	0.093616	0.153773
1073.000000	80.000000	1089.000000	95.000000	0.000000	1080.720779	87.402597	80.000000	154.000000	0.172308	0.013729	0.138592	0.205695
634.000000	88.000000	650.000000	103.000000	0.000000	641.537572	94.965318	88.000000	173.000000	0.181278	0.012747	0.145851	0.217537
1982.000000	88.000000	1998.000000	103.000000	0.000000	1989.663158	95.031579	88.000000	190.000000	0.215972	0.016662	0.164256	0.268251
1853.000000	94.000000	1868.000000	108.000000	0.000000	1860.270968	100.825806	94.000000	155.000000	0.217866	0.019300	0.171552	0.270527
296.000000	95.000000	328.000000	118.000000	0.000000	311.206972	105.775599	95.000000	459.000000	0.210327	0.021119	0.156566	0.276181
1058.000000	95.000000	1078.000000	112.000000	0.000000	1067.943609	103.439850	95.000000	266.000000	0.208264	0.017843	0.165352	0.263702
1299.000000	95.000000	1317.000000	112.000000	0.000000	1307.752381	102.976190	95.000000	210.000000	0.208551	0.016221	0.168227	0.254520
904.000000	99.000000	921.000000	116.000000	0.000000	912.261084	106.206897	99.000000	203.000000	0.218199	0.016854	0.172932	0.260881
819.000000	100.000000	837.000000	115.000000	0.000000	827.485876	107.067797	100.000000	177.000000	0.215429	0.014886	0.178470	0.250895
1935.000000	106.000000	1954.000000	122.000000	0.000000	1943.738938	113.296460	106.000000	226.000000	0.260236	0.020755	0.210157	0.318986
